Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","StampS3","","","1","","","","","","",""
"","C 100nF 0603","","C1","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 47uF ALUM","","C2","1","","","","Digi-Key","PCE4190TR-ND","",""
"","C 100nF 0603","","C3","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 47uF ALUM","","C4","1","","","","Digi-Key","PCE4190TR-ND","",""
"","C 47uF ALUM","","C5","1","","","","Digi-Key","PCE4190TR-ND","",""
"","C 10uF 1210","","C6","1","","","","Digi-Key","445-7004-1-ND","",""
"","C 100nF 0603","","C7","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 100nF 0603","","C8","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 10uF 0603","","C9","1","","","","Digi-Key","490-12317-1-ND","",""
"","C 10uF 0603","","C10","1","","","","Digi-Key","490-12317-1-ND","",""
"","C 10uF 0603","","C11","1","","","","Digi-Key","490-12317-1-ND","",""
"","C 100nF 0603","","C12","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 10uF 1210","","C13","1","","","","Digi-Key","445-7004-1-ND","",""
"","C 100nF 0603","","C14","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 10uF 0603","","C15","1","","","","Digi-Key","490-12317-1-ND","",""
"","C 10uF 0603","","C16","1","","","","Digi-Key","490-12317-1-ND","",""
"","C 100nF 0603","","C17","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 100nF 0603","","C18","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 100nF 0603","","C19","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 100nF 0603","","C20","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 100nF 0603","","C21","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 2.2nF 0603","","C22","1","","","","Digi-Key","399-1085-1-ND","",""
"","C 100nF 0603","","C23","1","","","","Digi-Key","1276-1012-1-ND","",""
"","C 10nF 0603","","C24","1","","","","Digi-Key","1276-1009-1-ND","",""
"","","","C25","1","","","","Digi-Key","493-6390-1-ND","",""
"","C 100nF 0603","","C26","1","","","","Digi-Key","1276-1012-1-ND","",""
